name,email,role,phone,telegram_id,division_name,project_role
Demo Project Sponsor,project.sponsor.pusat-inovasi@demo.rencanix.id,director,,,Manajemen Proyek,project_sponsor
Demo Owner Representative,owner.rep.pusat-inovasi@demo.rencanix.id,director,,,Manajemen Proyek,owner_rep
Demo Client Stakeholder,client.stakeholder.pusat-inovasi@demo.rencanix.id,director,,,Manajemen Proyek,client_stakeholder
Demo Project Manager,project.manager.pusat-inovasi@demo.rencanix.id,manager,,,Manajemen Proyek,project_manager
Demo Deputy Project Manager,deputy.pm.pusat-inovasi@demo.rencanix.id,manager,,,Manajemen Proyek,deputy_pm
Demo Construction Manager,construction.manager.pusat-inovasi@demo.rencanix.id,manager,,,Site Management,construction_manager
Demo Site Manager,site.manager.pusat-inovasi@demo.rencanix.id,manager,,,Site Management,site_manager
Demo Division Lead,division.lead.pusat-inovasi@demo.rencanix.id,manager,,,Project Division,division_lead
Demo Project Engineer,project.engineer.pusat-inovasi@demo.rencanix.id,staff,,,Engineering,project_engineer
Demo Site Engineer,site.engineer.pusat-inovasi@demo.rencanix.id,staff,,,Engineering,site_engineer
Demo Field Engineer,field.engineer.pusat-inovasi@demo.rencanix.id,staff,,,Engineering,field_engineer
Demo Structural Engineer,structural.engineer.pusat-inovasi@demo.rencanix.id,staff,,,Engineering,structural_engineer
Demo MEP Engineer,mep.engineer.pusat-inovasi@demo.rencanix.id,staff,,,MEP,mep_engineer
Demo Architectural Engineer,architect.engineer.pusat-inovasi@demo.rencanix.id,staff,,,Architecture,architect_engineer
Demo Drafter,drafter.pusat-inovasi@demo.rencanix.id,staff,,,Engineering,drafter
Demo BIM Modeler,bim.modeler.pusat-inovasi@demo.rencanix.id,staff,,,BIM / Digital Engineering,bim_modeler
Demo Surveyor,surveyor.pusat-inovasi@demo.rencanix.id,staff,,,Survey,surveyor
Demo Planning Engineer,planning.engineer.pusat-inovasi@demo.rencanix.id,staff,,,Planning & Controls,planning_engineer
Demo Scheduler,scheduler.pusat-inovasi@demo.rencanix.id,staff,,,Planning & Controls,scheduler
Demo Cost Controller,cost.controller.pusat-inovasi@demo.rencanix.id,staff,,,Cost Control,cost_controller
Demo Quantity Surveyor,quantity.surveyor.pusat-inovasi@demo.rencanix.id,staff,,,Quantity Surveying,quantity_surveyor
Demo Document Controller,doc.controller.pusat-inovasi@demo.rencanix.id,staff,,,Document Control,doc_controller
Demo QA/QC Manager,qa.qc.manager.pusat-inovasi@demo.rencanix.id,manager,,,QA/QC,qa_qc_manager
Demo QA/QC Engineer,qa.qc.engineer.pusat-inovasi@demo.rencanix.id,staff,,,QA/QC,qa_qc_engineer
Demo Inspector,inspector.pusat-inovasi@demo.rencanix.id,staff,,,QA/QC,inspector
Demo HSE Manager,hse.manager.pusat-inovasi@demo.rencanix.id,manager,,,HSE,hse_manager
Demo HSE Officer,hse.officer.pusat-inovasi@demo.rencanix.id,staff,,,HSE,hse_officer
Demo Contract Manager,contract.manager.pusat-inovasi@demo.rencanix.id,manager,,,Commercial / Contract,contract_manager
Demo Finance Manager,finance.manager.pusat-inovasi@demo.rencanix.id,manager,,,Finance & Accounting,finance_manager
Demo Project Accountant,project.accountant.pusat-inovasi@demo.rencanix.id,staff,,,Finance & Accounting,project_accountant
Demo Procurement Manager,procurement.manager.pusat-inovasi@demo.rencanix.id,manager,,,Procurement,procurement_manager
Demo Procurement Officer,procurement.officer.pusat-inovasi@demo.rencanix.id,staff,,,Procurement,procurement_officer
Demo Logistics Coordinator,logistics.coord.pusat-inovasi@demo.rencanix.id,staff,,,Logistics,logistics_coord
Demo Supervisor,supervisor.pusat-inovasi@demo.rencanix.id,staff,,,Site Execution,supervisor
Demo Foreman / Mandor,foreman.pusat-inovasi@demo.rencanix.id,staff,,,Site Execution,foreman
Demo Field Staff,field.staff.pusat-inovasi@demo.rencanix.id,staff,,,Site Execution,field_staff
Demo Staff,staff.pusat-inovasi@demo.rencanix.id,staff,,,Project Team,staff
Demo Warehouse Keeper,warehouse.keeper.pusat-inovasi@demo.rencanix.id,staff,,,Warehouse,warehouse_keeper
Demo Subcontractor,subcontractor.pusat-inovasi@demo.rencanix.id,subcontractor,,,Subcontractor,subcontractor
Demo Vendor / Supplier,vendor.pusat-inovasi@demo.rencanix.id,subcontractor,,,Manajemen Proyek,vendor
Demo Consultant,consultant.pusat-inovasi@demo.rencanix.id,subcontractor,,,Manajemen Proyek,consultant
Demo Authority Reviewer,authority.reviewer.pusat-inovasi@demo.rencanix.id,subcontractor,,,Manajemen Proyek,authority_reviewer
Demo Auditor,auditor.pusat-inovasi@demo.rencanix.id,staff,,,Manajemen Proyek,auditor
Demo Viewer / Observer,viewer.pusat-inovasi@demo.rencanix.id,staff,,,Manajemen Proyek,viewer
